id, product_name ,product_url,product_type,price
53,Elemis Pro-Collagen Marine Cream 50ml,https://www.lookfantastic.com/elemis-pro-collagen-marine-cream-50ml/10364543.html,Moisturiser,£87.00
54,La Roche-Posay Toleriane Ultra Fluid 40ml,https://www.lookfantastic.com/la-roche-posay-toleriane-ultra-fluid-40ml/11196312.html,Moisturiser,£18.50
55,Clinique Moisture Surge 72-Hour Auto-Replenishing Hydrator 15ml,https://www.lookfantastic.com/clinique-moisture-surge-72-hour-auto-replenishing-hydrator-15ml/12076053.html,Moisturiser,£12.00
56,Clinique for Men Moisturising Lotion 100ml,https://www.lookfantastic.com/clinique-for-men-moisturizing-lotion-100ml/10921700.html,Moisturiser,£25.40
57,Bulldog Oil Control Moisturiser 100ml,https://www.lookfantastic.com/bulldog-oil-control-moisturiser-100ml/11393161.html,Moisturiser,£4.50
58,Bulldog Age Defence Moisturiser 100ml,https://www.lookfantastic.com/bulldog-age-defence-moisturiser-100ml/10599978.html,Moisturiser,£6.75
59,The INKEY List Multi-Biotic Moisturiser 30ml,https://www.lookfantastic.com/the-inkey-list-multi-biotic-moisturiser-30ml/12211785.html,Moisturiser,£12.99
60,Caudalie Vinosource Moisturising Sorbet 40ml,https://www.lookfantastic.com/caudalie-vinosource-moisturising-sorbet-40ml/10594590.html,Moisturiser,£23.00
61,Neutrogena Refreshingly Clear Oil-Free Moisturiser 50ml,https://www.lookfantastic.com/neutrogena-refreshingly-clear-oil-free-moisturiser-50ml/12309605.html,Moisturiser,£5.24
62,The INKEY List Turmeric Moisturiser 30ml,https://www.lookfantastic.com/the-inkey-list-turmeric-moisturiser-30ml/12208017.html,Moisturiser,£7.99
63,The Ordinary Vitamin C Suspension Cream 30% in Silicone 30ml,https://www.lookfantastic.com/the-ordinary-vitamin-c-suspension-cream-30-in-silicone-30ml/11638504.html,Moisturiser,£6.10
64,La Roche-Posay Toleriane Sensitive Moisturiser 40ml,https://www.lookfantastic.com/la-roche-posay-toleriane-sensitive-moisturiser-40ml/11855111.html,Moisturiser,£16.50
65,Avene Hydrance Hydrating Cream 40ml,https://www.lookfantastic.com/avene-hydrance-hydrating-cream-40ml/11638678.html,Moisturiser,£15.50
66,Caudalie Vinoperfect Dark Spot Correcting Glycolic Night Cream 50ml,https://www.lookfantastic.com/caudalie-vinoperfect-dark-spot-correcting-glycolic-night-cream-50ml/11979372.html,Moisturiser,£34.00
67,L'Oréal Men Expert Pure & Matte Anti-Shine Moisturising Gel (50ml),https://www.lookfantastic.com/l-oreal-men-expert-pure-matte-anti-shine-moisturising-gel-50ml/10547030.html,Moisturiser,£4.99
68,Estée Lauder Revitalising Supreme + Global Anti-ageing Cell Power Crème 30ml,https://www.lookfantastic.com/estee-lauder-revitalizing-supreme-global-anti-aging-cell-power-creme-30ml/11432495.html,Moisturiser,£44.10
69,The Chemistry Brand Heel Hydration Complex 100ml,https://www.lookfantastic.com/the-chemistry-brand-heel-hydration-complex-100ml/10985287.html,Moisturiser,£14.99
70,Elizabeth Arden Visible Difference Refining Moisture Cream (75ml),https://www.lookfantastic.com/elizabeth-arden-visible-difference-refining-moisture-cream-75ml/11195549.html,Moisturiser,£30.00
71,Antipodes Baptise H20 Ultra-Hydrating Water Gel 60ml,https://www.lookfantastic.com/antipodes-baptise-h20-ultra-hydrating-water-gel-60ml/12432848.html,Moisturiser,£25.58
72,L'Oréal Paris Dermo Expertise Triple Active Hydrating Night Moisturiser (50ml),https://www.lookfantastic.com/l-oreal-paris-dermo-expertise-triple-active-hydrating-night-moisturiser-50ml/10726524.html,Moisturiser,£7.49
73,Bulldog Sensitive Moisturiser 100ml,https://www.lookfantastic.com/bulldog-sensitive-moisturiser-100ml/10599977.html,Moisturiser,£4.50
74,Dr.Jart+ Ceramidin Cream 50ml,https://www.lookfantastic.com/dr.jart-ceramidin-cream-50ml/12099664.html,Moisturiser,£35.50
,,,,
,"Erno Laszlo Phelityl Night Cream 50ml""",https://www.lookfantastic.com/erno-laszlo-phelityl-night-cream-various-sizes/12204396.html,Moisturiser,£135.00
,Antipodes Avocado Pear Nourishing Night Cream 60ml,https://www.lookfantastic.com/antipodes-avocado-pear-nourishing-night-cream-60ml/10374561.html,Moisturiser,£34.99
,Fade Out ADVANCED Even Skin Tone Night Cream 50ml,https://www.lookfantastic.com/fade-out-advanced-even-skin-tone-night-cream-50ml/11284055.html,Moisturiser,£9.99
,NIOD Hydration Vaccine Face Cream 50ml,https://www.lookfantastic.com/niod-hydration-vaccine-face-cream-50ml/11261665.html,Moisturiser,£35.00
,The INKEY List Peptide Moisturizer 50ml,https://www.lookfantastic.com/the-inkey-list-peptide-moisturizer-50ml/12435692.html,Moisturiser,£14.99
,Clinique Moisture Surge Intense Skin Fortifying Hydrator 50ml,https://www.lookfantastic.com/clinique-moisture-surge-intense-skin-fortifying-hydrator-50ml/11144742.html,Moisturiser,£37.00
,Clinique Moisture Surge 72-Hour Auto Replenishing Hydrator 30ml,https://www.lookfantastic.com/clinique-moisture-surge-72-hour-auto-replenishing-hydrator-30ml/11668593.html,Moisturiser,£25.00
,L'Oréal Paris Hydra Genius Liquid Care Moisturiser for Normal Combination Skin 70ml 2 Pack Exclusive,https://www.lookfantastic.com/l-oreal-paris-hydra-genius-liquid-care-moisturiser-for-normal-combination-skin-70ml-2-pack-exclusive/12313627.html,Moisturiser,£13.99
,Murad Hydro-Dynamic™ Ultimate Moisture (50ml),https://www.lookfantastic.com/murad-hydro-dynamic-ultimate-moisture-50ml/10475423.html,Moisturiser,£60.00
,Clinique Redness Solutions Daily Relief Cream 50ml,https://www.lookfantastic.com/clinique-redness-solutions-daily-relief-cream-50ml/11144771.html,Moisturiser,£42.00
,DECLÉOR Hydra Floral Anti-Pollution Hydrating Rich Cream,https://www.lookfantastic.com/decleor-hydra-floral-anti-pollution-hydrating-rich-cream/11740989.html,Moisturiser,£32.20
,Elemis Pro-Collagen Oxygenating Night Cream 50ml,https://www.lookfantastic.com/elemis-pro-collagen-oxygenating-night-cream-50ml/10366589.html,Moisturiser,£99.00
,Weleda Skin Food 75ml - Light,https://www.lookfantastic.com/weleda-skin-food-75ml-light/12147428.html,Moisturiser,£12.95
,Clinique Moisture Surge SPF25 Sheertint Hydrator - Universal Light Medium 40ml,https://www.lookfantastic.com/clinique-moisture-surge-spf25-sheertint-hydrator-universal-light-medium-40ml/12075753.html,Moisturiser,£30.00
,The INKEY List Bakuchiol Moisturiser 30ml,https://www.lookfantastic.com/the-inkey-list-bakuchiol-moisturiser-30ml/12211783.html,Moisturiser,£9.99
,COSRX Advanced Snail 92 All in One Cream 100ml,https://www.lookfantastic.com/cosrx-advanced-snail-92-all-in-one-cream-100ml/11401173.html,Moisturiser,£27.00
,bareMinerals Butter Drench Intense Moisurising Day Cream,https://www.lookfantastic.com/bareminerals-butter-drench-intense-moisurising-day-cream/11262518.html,Moisturiser,£32.00
,Eucerin Anti-Pigment SPF30 Day Cream 50ml,https://www.lookfantastic.com/eucerin-anti-pigment-spf30-day-cream-50ml/12034025.html,Moisturiser,£25.00
,Clinique for Men Oil-Control Moisturiser 100ml,https://www.lookfantastic.com/clinique-for-men-oil-control-moisturiser-100ml/10921699.html,Moisturiser,£25.50
,Sukin Sensitive Facial Moisturiser (125ml),https://www.lookfantastic.com/sukin-sensitive-facial-moisturiser-125ml/10961577.html,Moisturiser,£7.95
,Fade Out ADVANCED Even Skin Tone Day Cream SPF 25 50ml,https://www.lookfantastic.com/fade-out-advanced-even-skin-tone-day-cream-spf-25-50ml/11284054.html,Moisturiser,£9.99
,First Aid Beauty Coconut Skin Smoothie Priming Moisturiser,https://www.lookfantastic.com/first-aid-beauty-coconut-skin-smoothie-priming-moisturizer/11393476.html,Moisturiser,£20.50
,Avène Rich Revitalizing Nourishing Cream 50ml,https://www.lookfantastic.com/avene-rich-revitalizing-nourishing-cream-50ml/12312816.html,Moisturiser,£17.50
,REN Clean Skincare Evercalm Global Protection Day Cream,https://www.lookfantastic.com/ren-clean-skincare-evercalm-global-protection-day-cream/10872940.html,Moisturiser,£34.00
,Fade Out ADVANCED + Age Protection Even Skin Tone Day Cream SPF 25 50ml,https://www.lookfantastic.com/fade-out-advanced-age-protection-even-skin-tone-day-cream-spf-25-50ml/11490811.html,Moisturiser,£12.99
,Bulldog Protective Moisturiser 100ml,https://www.lookfantastic.com/bulldog-protective-moisturiser-100ml/11120094.html,Moisturiser,£6.75
,Alpha-H Daily Essential Moisturiser Spf50+ (50ml),https://www.lookfantastic.com/alpha-h-daily-essential-moisturiser-spf50-50ml/10243492.html,Moisturiser,£29.00
,Pai Skincare Chamomile and Rosehip Calming Day Cream 50ml,https://www.lookfantastic.com/pai-skincare-chamomile-and-rosehip-calming-day-cream-50ml/10877640.html,Moisturiser,£38.00
,Estée Lauder DayWear Anti-Oxidant 72H-Hydration Sorbet Creme SPF 15 50ml,https://www.lookfantastic.com/estee-lauder-daywear-anti-oxidant-72h-hydration-sorbet-creme-spf-15-50ml/12062040.html,Moisturiser,£40.50
,Liz Earle Skin Repair Light,https://www.lookfantastic.com/liz-earle-skin-repair-light/12528857.html,Moisturiser,£23.00
,Elemis Peptide4 Plumping Pillow Facial,https://www.lookfantastic.com/elemis-peptide4-plumping-pillow-facial/12091010.html,Moisturiser,£52.00
,Murad Oil and Pore Control Mattifier SPF45 PA 50ml,https://www.lookfantastic.com/murad-oil-and-pore-control-mattifier-spf45-pa-50ml/12245716.html,Moisturiser,£35.00
,Clinique for Men Anti-Age Moisturiser 100ml,https://www.lookfantastic.com/clinique-for-men-anti-age-moisturiser-100ml/11144851.html,Moisturiser,£32.50
,AMELIORATE Transforming Body Cream 225ml,https://www.lookfantastic.com/ameliorate-transforming-body-cream-225ml/11865357.html,Moisturiser,£27.50
,"JASON Age Renewal Vitamin E 25,000iu Cream (120g)",https://www.lookfantastic.com/jason-age-renewal-vitamin-e-25-000iu-cream-113g/10546498.html,Moisturiser,£9.99
,Clinique Smart SPF 15 Custom Repair Moisturiser - Dry to Combination Skin - 50ml,https://www.lookfantastic.com/clinique-smart-spf-15-custom-repair-moisturiser-dry-to-combination-skin-50ml/11179853.html,Moisturiser,£52.00
,Mama Mio The Tummy Rub Butter 120ml - Lavender and Mint,https://www.lookfantastic.com/mama-mio-the-tummy-rub-butter-120ml-lavender-and-mint/12078038.html,Moisturiser,£24.00
,Neal's Yard Remedies Vitamin E and Avocado Night Cream 50g,https://www.lookfantastic.com/neal-s-yard-remedies-vitamin-e-and-avocado-night-cream-50g/11926863.html,Moisturiser,£22.00
,First Aid Beauty Ultra Repair Face Moisturiser (50ml),https://www.lookfantastic.com/first-aid-beauty-ultra-repair-face-moisturizer-50ml/11054500.html,Moisturiser,£20.00
,Bioderma Hydrabio Gel Cream 40ml,https://www.lookfantastic.com/bioderma-hydrabio-gel-cream-40ml/11688484.html,Moisturiser,£15.20
,Estée Lauder NightWear Plus Anti-Oxidant Night Detox Crème 50ml,https://www.lookfantastic.com/estee-lauder-nightwear-plus-anti-oxidant-night-detox-creme-50ml/11465641.html,Moisturiser,£44.10
,The Ordinary 10% Agireline Solution 30ml,https://www.lookfantastic.com/the-ordinary-10-agireline-solution-30ml/11416769.html,Serum,£5.80
,The Ordinary Buffet Supersize Serum 60ml,https://www.lookfantastic.com/the-ordinary-buffet-supersize-serum-60ml/12243646.html,Serum,£24.40
,The Ordinary 100% Pycnogenol 5% 15ml,https://www.lookfantastic.com/the-ordinary-100-pycnogenol-5-15ml/12049287.html,Serum,£8.90
,Medik8 C-Tetra Serum 30ml,https://www.lookfantastic.com/medik8-c-tetra-serum-30ml/11795619.html,Serum,£35.00
,Estée Lauder Advanced Night Repair Synchronized Recovery Complex II 30ml,https://www.lookfantastic.com/estee-lauder-advanced-night-repair-synchronized-recovery-complex-ii/11141115.html,Serum,£52.20
,Estée Lauder Advanced Night Repair Synchronized Recovery Complex II 50ml,https://www.lookfantastic.com/estee-lauder-advanced-night-repair-synchronized-recovery-complex-ii/11141115.html,Serum,£70.20
,The Ordinary Hyaluronic Acid 2% + B5 Supersize Serum 60ml,https://www.lookfantastic.com/the-ordinary-hyaluronic-acid-2-b5-supersize-serum-60ml/12243647.html,Serum,£11.00
,The Ordinary Marine Hyaluronics 30ml,https://www.lookfantastic.com/the-ordinary-marine-hyaluronics-30ml/11751840.html,Serum,£6.20
,Avene Hydrance Intense Serum 30ml,https://www.lookfantastic.com/avene-hydrance-intense-serum-30ml/11568827.html,Serum,£20.00
,VICHY Minéral 89 Hyaluronic Acid Hydration Booster 50ml,https://www.lookfantastic.com/vichy-mineral-89-hyaluronic-acid-hydration-booster-50ml/11499284.html,Serum,£25.00
,La Roche-Posay Pure Vitamin C10 Serum 30ml,https://www.lookfantastic.com/la-roche-posay-pure-vitamin-c10-serum-30ml/12049143.html,Serum,£38.00
,PIXI Overnight Glow Serum,https://www.lookfantastic.com/pixi-overnight-glow-serum/11200045.html,Serum,£26.00
,Clinique Even Better Clinical Radical Dark Spot Corrector + Interrupter 50ml,https://www.lookfantastic.com/clinique-even-better-clinical-radical-dark-spot-corrector-interrupter-50ml/12483689.html,Serum,£64.00
,Medik8 Hydr8 B5 Serum 30ml,https://www.lookfantastic.com/medik8-hydr8-b5-serum-30ml/11795629.html,Serum,£40.00
,NIP+FAB Dragons Blood Fix Serum 50ml,https://www.lookfantastic.com/nip-fab-dragons-blood-fix-serum-50ml/11457535.html,Serum,£19.95
,By Terry Cellularose CC Serum 30ml (Various Shades),https://www.lookfantastic.com/by-terry-cellularose-cc-serum-30ml-various-shades/11307081.html,Serum,£61.00
,NIP+FAB Salicylic Fix Serum Extreme 2% 50ml,https://www.lookfantastic.com/nip-fab-salicylic-fix-serum-extreme-2-50ml/12137766.html,Serum,£19.95
,NIOD Multi-Molecular Hyaluronic Complex 15ml,https://www.lookfantastic.com/niod-multi-molecular-hyaluronic-complex-15ml/11457499.html,Serum,£25.00
,Medik8 Crystal Retinal 6,https://www.lookfantastic.com/medik8-crystal-retinal-6/11899386.html,Serum,£59.00
,PIXI Collagen and Retinol Serum 30ml,https://www.lookfantastic.com/pixi-collagen-and-retinol-serum-30ml/12040130.html,Serum,£26.00
,Elizabeth Arden Ceramide Capsules Advanced (90 Capsules),https://www.lookfantastic.com/elizabeth-arden-ceramide-capsules-advanced-90-capsules/11382385.html,Serum,£84.00
,Elizabeth Arden Retinol Ceramide Capsules Line Erasing Night Serum - 30 Pieces (Sleeved Version),https://www.lookfantastic.com/elizabeth-arden-retinol-ceramide-capsules-line-erasing-night-serum-30-pieces-sleeved-version/11845677.html,Serum,£42.00
,Tan-Luxe Super Glow Body Hyaluronic Self-Tan Serum 150ml,https://www.lookfantastic.com/tan-luxe-super-glow-body-hyaluronic-self-tan-serum-150ml/12508660.html,Serum,£35.00
,La Roche-Posay Rosaliac AR Intense Serum 40ml,https://www.lookfantastic.com/la-roche-posay-rosaliac-ar-intense-serum-40ml/11091876.html,Serum,£19.50
,La Roche-Posay Toleriane Ultra Cream,https://www.lookfantastic.com/la-roche-posay-toleriane-ultra-cream/11094703.html,Serum,£18.50
,Clinique Even Better Clinical Radical Dark Spot Corrector + Interrupter 30ml,https://www.lookfantastic.com/clinique-even-better-clinical-radical-dark-spot-corrector-interrupter-30ml/12483688.html,Serum,£45.00
,Elizabeth Arden Retinol Ceramide Capsules Line Erasing Night Serum - 60 Pieces (Sleeved Version),https://www.lookfantastic.com/elizabeth-arden-retinol-ceramide-capsules-line-erasing-night-serum-60-pieces-sleeved-version/11845678.html,Serum,£72.00
,VICHY Minéral 89 Hyaluronic Acid Hydration Booster 75ml,https://www.lookfantastic.com/vichy-mineral-89-hyaluronic-acid-hydration-booster-75ml/12049147.html,Serum,£30.00
,PIXI Glow Tonic Serum 30ml,https://www.lookfantastic.com/pixi-glow-tonic-serum-30ml/12040121.html,Serum,£26.00
,DECLÉOR Aromessence Neroli Amara Serum 15ml,https://www.lookfantastic.com/decleor-aromessence-neroli-amara-serum-15ml/10360106.html,Serum,£36.40
,The Ordinary Amino Acids + B5,https://www.lookfantastic.com/the-ordinary-amino-acids-b5/11933182.html,Serum,£5.90
,Lancôme Advanced Génifique Eye and Lash Serum - Light Pearl 20ml,https://www.lookfantastic.com/lancome-advanced-genifique-eye-and-lash-serum-light-pearl-20ml/12086252.html,Serum,£44.55
,REN Clean Skincare Radiance Perfection Serum,https://www.lookfantastic.com/ren-clean-skincare-radiance-perfection-serum/10460867.html,Serum,£38.00
,Sanctuary Spa Hyaluronic Wonder Oil Serum 30ml,https://www.lookfantastic.com/sanctuary-spa-hyaluronic-wonder-oil-serum-30ml/11794101.html,Serum,£20.00
,La Roche-Posay Hydraphase Intense Serum (30ml),https://www.lookfantastic.com/la-roche-posay-hydraphase-intense-serum-30ml/11091831.html,Serum,£22.00
,L'Oréal Paris Hydra Genius Liquid Care Moisturiser Combination Skin 70ml,https://www.lookfantastic.com/l-oreal-paris-hydra-genius-liquid-care-moisturiser-combination-skin-70ml/11740133.html,Serum,£9.99
,bareMinerals SkinLongevity Vital Power Infusion Serum 50ml,https://www.lookfantastic.com/bareminerals-skinlongevity-vital-power-infusion-serum-50ml/11262516.html,Serum,£48.00
,REN Clean Skincare Evercalm Anti-Redness Serum,https://www.lookfantastic.com/ren-clean-skincare-evercalm-anti-redness-serum/10448750.html,Serum,£32.00
,Elizabeth Arden Advanced Ceramide Capsules Daily Youth Restoring Eye Serum (60 Pack),https://www.lookfantastic.com/elizabeth-arden-advanced-ceramide-capsules-daily-youth-restoring-eye-serum-60-pack/11491115.html,Serum,£52.00
,Estée Lauder Perfectionist Pro Multi-Defense Aqua UV Gel SPF 50 with 8 Anti-Oxidants,https://www.lookfantastic.com/perfectionist-pro-multi-defense-aqua-uv-gel-spf-50-with-8-anti-oxidants/12449352.html,Serum,£32.40
,NIP+FAB Retinol Fix Serum Extreme 50ml,https://www.lookfantastic.com/nip-fab-retinol-fix-serum-extreme-50ml/12192674.html,Serum,£29.95
